session_id,mitre_tactic_reconnaissance,mitre_tactic_resource_development,mitre_tactic_initial_access,mitre_tactic_execution,mitre_tactic_persistence,mitre_tactic_privilege_escalation,mitre_tactic_defense_evasion,mitre_tactic_credential_access,mitre_tactic_discovery,mitre_tactic_lateral_movement,mitre_tactic_collection,mitre_tactic_command_and_control,mitre_tactic_exfiltration,mitre_tactic_impact,mitre_severity_max,mitre_severity_mean,mitre_severity_weighted,mitre_kill_chain_score,mitre_unique_technique_count,mitre_total_commands,mitre_matched_commands,mitre_severity_tier,mitre_technique_ids
96fb10d64351,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,4.333,30.333,2,3,2,2,critical,T1033|T1083|T1098.004
0d2ad9176656,0,0,0,1,1,0,0,0,3,0,0,0,0,1,9,4.833,31.5,4,6,17,15,critical,T1033|T1059.004|T1082|T1083|T1098.004|T1489
01c83176cc6b,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,4.333,30.333,2,3,2,2,critical,T1033|T1083|T1098.004
074b38eaf93b,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,4.333,30.333,2,3,2,2,critical,T1033|T1083|T1098.004
aaf974358d23,0,0,0,1,2,0,0,0,4,0,0,0,0,1,9,5.125,33.625,4,8,19,17,critical,T1007|T1033|T1053.003|T1059.004|T1082|T1083|T1098.004|T1489
1201bd4f8159,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,4.333,30.333,2,3,2,2,critical,T1033|T1083|T1098.004
a6c142311c1b,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,4.333,30.333,2,3,2,2,critical,T1033|T1083|T1098.004
391ef694b129,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,4.333,30.333,2,3,2,2,critical,T1033|T1083|T1098.004
1e30ec2262cd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,none,
e33becda9c11,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,4.333,30.333,2,3,2,2,critical,T1033|T1083|T1098.004
7a76ce068ad1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,4.333,30.333,2,3,2,2,critical,T1033|T1083|T1098.004
dda53545d443,0,0,0,1,2,0,0,0,4,0,0,0,0,1,9,5.125,33.625,4,8,19,17,critical,T1007|T1033|T1053.003|T1059.004|T1082|T1083|T1098.004|T1489
54dc29701b78,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,4.333,30.333,2,3,2,2,critical,T1033|T1083|T1098.004
8d834a749d76,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,4.333,30.333,2,3,2,2,critical,T1033|T1083|T1098.004
5f5ad6deb068,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,4.333,30.333,2,3,2,2,critical,T1033|T1083|T1098.004
110b9db1671a,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,4.333,30.333,2,3,2,2,critical,T1033|T1083|T1098.004
700b8cf1cb5a,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,4.333,30.333,2,3,2,2,critical,T1033|T1083|T1098.004
e96dca90cc76,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,4.333,30.333,2,3,2,2,critical,T1033|T1083|T1098.004
3671749fed75,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,4.333,30.333,2,3,2,2,critical,T1033|T1083|T1098.004
54f5a8ea74cb,0,0,0,1,2,0,0,0,4,0,0,0,0,1,9,5.125,33.625,4,8,19,17,critical,T1007|T1033|T1053.003|T1059.004|T1082|T1083|T1098.004|T1489
30c21ea6250b,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,4.333,30.333,2,3,2,2,critical,T1033|T1083|T1098.004
f5ab8da833a7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3.0,9.0,1,1,1,1,low,T1033
